# Train        Test        
    0.764943     0.915300 
    0.895300     0.943000 
    0.915150     0.948300 
    0.921317     0.944000 
    0.930033     0.953400 
    0.932283     0.959600 
    0.936950     0.965700 
    0.941117     0.959800 
    0.943817     0.966000 
    0.945067     0.965700 
    0.946067     0.968600 
    0.948267     0.967500 
    0.949717     0.972400 
    0.952033     0.972900 
    0.951983     0.972600 
    0.953650     0.970600 
    0.955200     0.974600 
    0.954300     0.973400 
    0.956850     0.972100 
    0.957617     0.977000 
