# Train        Test        
    0.894243     0.464753 
    0.522566     0.346459 
    0.450180     0.337471 
    0.415379     0.324155 
    0.387948     0.282074 
    0.372646     0.249557 
    0.355178     0.240714 
    0.342862     0.234295 
    0.329298     0.231182 
    0.322614     0.205099 
    0.314896     0.185467 
    0.303421     0.223271 
    0.297149     0.179435 
    0.289829     0.178705 
    0.286123     0.177603 
    0.282908     0.251217 
    0.275484     0.168959 
    0.270846     0.161527 
    0.262813     0.161258 
    0.257598     0.157620 
